Stakeholder Name,Role,Stakeholder quote related to Fortescue,Translation,Sentiment
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BD3-5881-F0JP-W1JR-00000-00&context=1519360),Major shareholder,"""The dividend will deliver a $1.2bn payout to the commercial and charitable interests of Andrew and Nicola Forrest.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BD3-5881-F0JP-W1VC-00000-00&context=1519360),Philanthropist and businessman,"""The dividend will deliver a $1.2bn payout to the commercial and charitable interests of Andrew and Nicola Forrest, whose business and philanthropic affairs remain intertwined despite their separation last year.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BW3-PG81-JBJ7-N00N-00000-00&context=1519360),Green energy pioneer,"""This is a huge milestone and brings us one step closer to green shipping.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BWM-HP91-F0J6-J01B-00000-00&context=1519360),"Philanthropist, co-founder of Minderoo Foundation","""As a family we agreed many years ago to give away the majority of our wealth.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C12-2MW1-JD34-V00D-00000-00&context=1519360),"Businessman, CEO of Fortescue Metals Group","""I made it really clear if they don't change that stance, I don't bluff.""",N.A.,Negative,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CDS-FXR1-F0J6-J1X9-00000-00&context=1519360),Rich Lister and early-stage minority investor in Universal Hydrogen,"""There remains significant interest in our green energy projects and the prospect of green hydrogen and its derivatives.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CFH-77T1-F0JP-W0RS-00000-00&context=1519360),Founder of Fortescue Metals Group,"""I think, if I look back on anything with a semblance of pride, it will be switching off all fossil fuels of this huge industrial hyper-successful company.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CH7-2R81-F0JP-W307-00000-00&context=1519360),"Mining billionaire, founder of Fortescue","""Forrest has admitted what should have been obvious from the start. Energy users want cheap energy and hydrogen is not cheap.""",N.A.,Negative,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CH8-6Y01-DY19-C16Y-00000-00&context=1519360),"Mining executive, CEO of Fortescue","""We are producing green hydrogen as we speak.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CV0-6821-DY19-C01G-00000-00&context=1519360),Founder and major shareholder,"""The latest results come as Fortescue has had to re-evaluate its green energy ambitions, cutting 700 jobs in July.""",N.A.,Negative,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CV0-91C1-DYG0-9026-00000-00&context=1519360),Executive Chairman,"""This is the first of more than one gigawatt of solar infrastructure that we will build before the end of the decade.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CV5-VDK1-JD3N-50VP-00000-00&context=1519360),Founder and Executive Chair of Fortescue,"""What we don't do is give up.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CV5-VDK1-JD3N-518K-00000-00&context=1519360),Chairman,"""Fortescue, chaired by billionaire founder Andrew Forrest, aiming to produce its first green metal from Pilbara ores within a year from its $US50m Christmas Creek pilot plant.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DHM-K7C1-DXVP-50NC-00000-00&context=1519360),Chairman of Fortescue Metals Group Ltd.,"""We re moving rapidly to decarbonize our Pilbara iron ore operations and eliminate our Scope 1 and 2 terrestrial emissions by 2030.""",N.A.,Positive,
[Andrew Forrest](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F67-HVF3-RT3D-D4KF-00000-00&context=1519360),Major shareholder and control of Fortescue,"""The dividend is worth about $560 million to Andrew and Nicola Forrest, who separated in 2023 and collectively control 36.7 per cent of the miner.""",N.A.,Neutral,
[Andrew Vesey](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F5R-20G3-RS3T-5366-00000-00&context=1519360),Fortescue's US energy boss,"""No suggestion of any wrongdoing by Vesey.""",N.A.,Neutral,
[Andy Marsh](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B5T-3681-F0J6-J017-00000-00&context=1519360),CEO of Plug,"""When Plug boss Andy Marsh updates investors on Tuesday, it will be exactly one year since he bruised Fortescue by suggesting the economics of the Gladstone electrolyser factory were not attractive enough for him to invest.""",N.A.,Negative,
[Andy Vesey](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F37-Y8C3-RSV7-72XK-00000-00&context=1519360),"Former AGL Energy Chief Executive, replaced Paul Browning",Not mentioned,N.A.,Neutral,
[Andy Vesey](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F7R-B3N3-RTN4-84RT-00000-00&context=1519360),Top clean energy executive in North America for Fortescue,Not mentioned,N.A.,Neutral,
[Annie Ashworth](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F3S-TKR3-S03V-R4KS-00000-00&context=1519360),Associate Director Indigenous Business at NAB,"""This partnership with Fortescue is a powerful example of how we can work together to unlock new opportunities.""",N.A.,Positive,
[Anthony Albanese](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CH8-N411-JBN5-F00M-00000-00&context=1519360),Prime Minister of Australia,"""The fact is that green hydrogen does have an important role to play in our future.""",N.A.,Positive,
[Apple Paget](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CH3-G6G1-F11P-X4DW-00000-00&context=1519360),Group CFO,Not mentioned,N.A.,Neutral,
[Apple Paget](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CJX-V8C1-F0JP-W3KJ-00000-00&context=1519360),Fortescue chief financial officer,"""About 60 per cent of Fortescue Energy's $US700m operating spend would support the development of new green energy projects - including feasibility studies on green hydrogen projects in Norway and Brazil - with the rest allocated to Fortescue Zero, she said.""",N.A.,Positive,
[Barry Sterland](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D8F-2NN1-JD34-V445-00000-00&context=1519360),Productivity Commission Commissioner,"""I don't think that necessarily works at cross purposes, I think there's a different complex argument to be had about the transport fuel space.""",N.A.,Neutral,
[Bart Kolodziejczyk](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B4R-7561-JD34-V01G-00000-00&context=1519360),Former Fortescue chief scientist,"""You actually had to step out of Fortescue to brainstorm, ideate and develop a pathway.""",N.A.,Negative,
[Bart Kolodziejczyk](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B67-1D41-JD34-V01D-00000-00&context=1519360),Former chief scientist at Fortescue Future Industries,"""Two of the original architects of Fortescue Future Industries - former chief financial officer Michael Masterman and former chief scientist Bart Kolodziejczyk revealed last week they had launched their own green iron start-up.""",N.A.,Negative,
[Bart Kolodziejczyk](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BT7-8X41-DY19-C0GV-00000-00&context=1519360),Co-founder and Chief Technology Officer of Element Zero,"""There is so much interest in what we do both in Australia and globally, in particular in the US, that we believe that we can make it.""",N.A.,Positive,
[Bart Kolodziejczyk](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C71-7VB1-JD34-V01F-00000-00&context=1519360),Former Chief Scientist at Fortescue,"""As the matter is now before the court, we will not be making further comment at this time.""",N.A.,Neutral,
[Bartlomiej Kolodziejczyk](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D3V-JD21-DYG0-9010-00000-00&context=1519360),Ex-chief scientist,"""Fortescue says its ex-chief scientist Bartlomiej Kolodziejczyk and technology development lead Bjorn Winther-Jensen applied green-iron technology they helped develop while working for the miner to form rival startup Element Zero.""",N.A.,Negative,
[Ben Caldecott](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D57-GX21-JD34-V3TS-00000-00&context=1519360),Director of Oxford Sustainable Finance Group,"""The plan is marked by high ambition and well-defined actions, underpinned by accountability mechanisms to ensure systematic delivery across the organisation.""",N.A.,Positive,
[Benjamin Mee](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CVC-TK81-F0JP-W10M-00000-00&context=1519360),Executive Director at HyTerra,"""This investment would enable HyTerra to have a strong financial position going forward; but it's the possibility to propel the global decarbonisation journey with such a visionary company that is truly exciting.""",N.A.,Positive,
[Bjorn Winther-Jensen](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C6G-6961-JD3N-51KN-00000-00&context=1519360),Former staff member at Fortescue,"""Fortescue's claims were 'spurious' and 'entirely without merit'.""",N.A.,Negative,
[Bjorn Winther-Jensen](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CD3-0FH1-DY19-C0M2-00000-00&context=1519360),Former Director at Element Zero,Not mentioned,N.A.,Neutral,
[Bjorn Winther-Jensen](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CF6-DD51-JD34-V00D-00000-00&context=1519360),Former Fortescue Employee,"""Element Zero says its technology was developed independently and is very different from anything Fortescue has done.""",N.A.,Negative,
[Bjorn Winther-Jensen](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D3W-7Y31-JC0X-K0J4-00000-00&context=1519360),Technology Development Lead at Fortescue,"""The original search orders, which were carried out after unprecedented surveillance of Element Zero employees and strangers by private investigators, represented massive over-reach by Fortescue.""",N.A.,Negative,
[Bjorn Winther-Jensen](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DT2-0YM3-RXC4-K0T2-00000-00&context=1519360),Former Fortescue staff member,"""Fortescue accused Element Zero of 'industrial-scale misuse' of confidential information concerning its green (carbon dioxide-free) iron technology.""",N.A.,Negative,
[Brahma Dharmananda](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BTD-HM91-DYG0-901T-00000-00&context=1519360),Fortescue barrister,"""the focus of compensation should be the impact on native title rights and interests - and cannot be treated as equivalent to the amount mining companies have been prepared to pay to native title holders under negotiated agreement.""",N.A.,Positive,
[Brian Burke](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F2D-2J73-RTBV-40WP-00000-00&context=1519360),Former WA Premier,"""Robe River, that was the start, the origin, the foundation of everything.""",N.A.,Neutral,
[Bronwyn Grieve](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CJG-WTR1-JD3N-5176-00000-00&context=1519360),Fortescue's global sustainability and external affairs lead,"""Grieve and Robertson have since ended up at Fortescue, as Margin Call has learned, both now occupying seats on Andrew Forrest's executive.""",N.A.,Positive,
[Bronwyn Grieve](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D63-CJ91-JD34-V1ND-00000-00&context=1519360),Director of Global Sustainability and External Affairs at Fortescue,"""The government needs to think about levelling the playing field so that companies that do want to decarbonise and shift to clean fuel sources are on a level playing field with those that stay in the current environment.""",N.A.,Positive,
[Cameron Wilson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B99-G0W1-JD3N-512G-00000-00&context=1519360),Long-term company secretary of Fortescue,"""We are delighted that (Cameron) has agreed to continue with the company on a part-time basis to ensure a smooth transition.""",N.A.,Positive,
[Campbell Jaski](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BTM-W481-JC0X-K02C-00000-00&context=1519360),Valuer at PWC Australia,"""Anyone valuing this land will take into account the fact that it contains an estimated 2800 million tonnes of iron ore.""",N.A.,Positive,
[Carlos Lange](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B99-G0W1-JD3N-512G-00000-00&context=1519360),President of Fortescue Energy's European operations,"""Mr Lange was appointed as the president of Fortescue Energy's European operations in March 2023, tasked with helping Fortescue make good on its big promises about the production of green energy and hydrogen across Europe.""",N.A.,Neutral,
[Chris Bowen](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CH8-N411-JBN5-F00M-00000-00&context=1519360),Climate Change and Energy Minister,"""Green hydrogen will be one of the best ways Australia can decarbonise domestic heavy emitters and help develop robust low carbon manufacturing and energy.""",N.A.,Positive,
[Chris Kourtis](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CT1-2NJ1-JD34-V020-00000-00&context=1519360),Portfolio Manager at Ellerston Capital,"""Following the sharp de-rating, we believe FMG now offers a compelling entry point at current bombed-out levels.""",N.A.,Positive,
[Christine Morris](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B67-1D41-JD34-V01D-00000-00&context=1519360),Former chief financial officer at Fortescue,"""the chief financial officer appointed by Ms Hick, Christine Morris, lasted barely two months.""",N.A.,Negative,
[Christine Nicolau](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D6D-JV01-DYDT-80H4-00000-00&context=1519360),General Manager of Corporate Development LATAM at Fortescue,"""She currently serves as general manager of corporate development LATAM at Fortescue, where she oversees critical minerals growth across South America, including integration with Fortescue's Energy business.""",N.A.,Positive,
[Cindy Huang](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B5T-3681-F0J6-J017-00000-00&context=1519360),Analyst at Mirova,"""We try to learn first from the individual company, and then through that company understand that part of the value chain.""",N.A.,Neutral,
[Daniel Andrews](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C11-TKK1-DY19-C01G-00000-00&context=1519360),Consultant for Fortescue,"""Andrews has teamed up with West Australian mining billionaire Andrew 'Twiggy' Forrest and his iron ore giant Fortescue to help fulfil Twiggy's dream of selling 100 million tonnes of 'green' iron to China.""",N.A.,Positive,
[Daniel Hynes](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BC3-71Y1-DY19-C18H-00000-00&context=1519360),ANZ senior commodity strategist,"""I think the stimulus will help stem the fall that we've seen in property investment and construction activity, but that won't ignite another rally like we've seen in the past.""",N.A.,Negative,
[David Pocock](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DC0-PTB1-F0J6-J3VR-00000-00&context=1519360),Independent ACT senator,"""It is locking in the use of diesel because if you stop using diesel, you stop getting the fuel tax credits. Let's reshape it and tie it to decarbonisation.""",N.A.,Negative,
[David Richardson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BH3-6YB1-JBYR-J43F-00000-00&context=1519360),Magmatic Resources executive chair,"""We are excited to joint venture and partner with Fortescue to advance our exploration efforts across the Myall Project area.""",N.A.,Positive,
[David Richardson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BHT-PMH1-F0J6-J009-00000-00&context=1519360),Magmatic executive chairman,"""Myall has many of the signatures of a tier 1 copper-gold deposit and Magmatic has recognised the need to partner with a major to further advance the project following the maiden resource.""",N.A.,Positive,
[David Scaysbrook](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B9M-J8T1-JD34-V00X-00000-00&context=1519360),"Managing Director, Quinbrook Infrastructure Partners","""They're going to have to pay to transmit power all the way to Gibson Island through the high voltage system in Brisbane, and so paying full freight on all the transmission and distribution.""",N.A.,Negative,
[David Scaysbrook](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F8G-5PR3-RRSK-S14X-00000-00&context=1519360),Co-founder of Quinbrook Infrastructure Partners,"""Some of the projects were overly ambitious in expecting a market to develop and I think ultimately there's been a lack of customer demand at the price points.""",N.A.,Negative,
[David Studdy SC](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CNR-6J61-DYG0-9029-00000-00&context=1519360),Barrister representing Element Zero and its directors,"""The only collateral purpose ... is the extraordinary conduct of Fortescue which is now understandably causing it some concern and wanting to shut all of this down.""",N.A.,Negative,
[David Studdy SC](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CS8-3TS1-JD3N-50R2-00000-00&context=1519360),Element Zero barrister,"""There was no evidence they actually took documents, stole or made off with (the documents) unlawfully.""",N.A.,Positive,
[David Tuckwell](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B5T-3681-F0J6-J017-00000-00&context=1519360),Manager at GlobalX,"""Aside from interest rates, he says investors have been scared away from the hydrogen sector by frequent dilutive share issuances and the threat that Donald Trump could scrap President Joe Biden's hydrogen incentives if he regains power.""",N.A.,Negative,
[Dino Otranto](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B5X-BYJ1-DY19-C00P-00000-00&context=1519360),Chief Executive of Fortescue Metals,"""We achieved this while continuing to grow our green technology, energy and metals businesses, keeping costs low and maintaining our safety performance.""",N.A.,Positive,
[Dino Otranto](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B63-X5T1-JD3N-50Y0-00000-00&context=1519360),Fortescue Metals chief executive,"""The rest of the supply chain is performing exceptionally well.""",N.A.,Positive,
[Dino Otranto](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B6S-BKX1-DYDT-800G-00000-00&context=1519360),Fortescue chief executive officer,"""This is an exciting milestone for both Fortescue and Liebherr as we work together to develop the zero-emission solutions the world needs to step beyond fossil fuels.""",N.A.,Positive,
[Dino Otranto](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BCW-9W51-DYG0-9005-00000-00&context=1519360),Metals Chief Executive at Fortescue,"""Fortescue’s performance in the first half of FY24 has been excellent, with the team achieving our second highest first-half shipments while maintaining our strong focus on safety and keeping our costs low.""",N.A.,Positive,
[Dino Otranto](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BD0-57P1-F11P-X0HC-00000-00&context=1519360),CEO of Fortescue,"""Fortescue's performance in the first half of FY24 has been excellent, with the team achieving our second highest first half shipments.""",N.A.,Positive,
[Dino Otranto](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BDM-4WF1-JD34-V1PF-00000-00&context=1519360),Fortescue mining boss,"""The remaining 4½ months are big months for us, we acknowledge that, but nothing we haven't achieved before.""",N.A.,Positive,
[Dino Otranto](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BHX-MT01-JD3N-5421-00000-00&context=1519360),Fortescue Metals head,"""Eighteen months ago when we announced the pivot into green energy, we were a bit anxious, to be honest.""",N.A.,Negative,
[Dino Otranto](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DBW-NHD1-F0JP-W2DK-00000-00&context=1519360),Chief Executive of Mining Division,"""Fortescue intends to grant up to 208,656 performance rights to Mr Otranto and up to 248,001 rights to Mr Hutchinson.""",N.A.,Negative,
[Doug Williams](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D7G-4JM1-JD3N-50V7-00000-00&context=1519360),Archaeologist for Fortescue,"""highly speculative""",N.A.,Negative,
[Douglas Williams](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D7B-MGY1-DYG0-90VN-00000-00&context=1519360),Fortescue's expert,"""The trio agreed that a more detailed investigation could have been done to mitigate the loss of some sites.""",N.A.,Negative,
[Dr Adam McKinnon](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C7C-DMV1-DYDT-8358-00000-00&context=1519360),Managing Director of Magmatic Resources,"""With a work program now in place for the project, I am excited to see the next chapter for Myall commence in partnership with Fortescue.""",N.A.,Positive,
[Dr Bartlomiej Kolodziejczyk](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CNR-6J61-DYG0-9029-00000-00&context=1519360),Director of Element Zero,"""We’re not trying to have our cake and eat it.""",N.A.,Neutral,
[Dr Shanta Barley](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CST-3FX1-JD34-V01M-00000-00&context=1519360),Chief Climate Scientist at Fortescue,"""She now works at Fortescue in the role of chief climate scientist, having first been hired by Forrest's philanthropic Minderoo Foundation in 2020.""",N.A.,Positive,
[Dr Shanta Barley](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F3S-TGR3-RS4N-K2F3-00000-00&context=1519360),Fortescue's Chief Climate Scientist,"""Many offset projects are now known to be low quality and failing to deliver the emissions reductions they promised ... We are, in other words, largely being duped.""",N.A.,Negative,
[Ed Husic](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BRN-Y551-JD3N-50X2-00000-00&context=1519360),Federal Industry and Science Minister,"""This hydrogen gigafactory shows what can be achieved when government and industry work together.""",N.A.,Positive,
[Eva Hanly](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CGT-2GH1-F0JP-W0D9-00000-00&context=1519360),Former Asia Pacific energy boss at Fortescue,"""Her exit comes after Fortescue has retreated from many of its planned green hydrogen and ammonia projects in the region.""",N.A.,Negative,
[Fiona Hick](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B67-1D41-JD34-V01D-00000-00&context=1519360),Former mining boss at Fortescue,"""Former Woodside chief executive Fiona Hick spent just six months as Fortescue's mining boss before leaving in August.""",N.A.,Negative,
[Fiona Simon](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CHH-8D81-JBNF-W3HS-00000-00&context=1519360),Chief Executive of the Australian Hydrogen Council,"""Fortescue’s move was less about hydrogen than it is about one company and how it’s sought to reassess its priorities.""",N.A.,Negative,
[Fiona Sugden](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6B99-G0W1-JD3N-512G-00000-00&context=1519360),Former external affairs boss at Fortescue,"""External affairs boss Fiona Sugden leaving to join the office of current Prime Minister Anthony Albanese.""",N.A.,Negative,
[General Brice Oligui Nguema](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DSV-1VD3-RYS0-R24R-00000-00&context=1519360),Military ruler of Gabon,"""Our discussions with the Gabon government remain positive and we continue to work together to advance a potential large-scale development.""",N.A.,Positive,
[Graham Howard](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F08-BN83-RT67-N0BR-00000-00&context=1519360),Iron Bridge operations director,"""While we have seen improvements in demand and pricing for concentrates and pellet feed for Iron Bridge in this quarter, the market overall remains quite volatile.""",N.A.,Negative,
[Jason Ballard](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D93-04R1-F0J6-J01X-00000-00&context=1519360),Pastor at Alpha International,"""The Bible is clear about it; sex is designed for a man and a woman in the commitment of marriage.""",N.A.,Negative,
